# LAB = 1 - N = 256 - CODE = original - COMPILER: gcc-9, clang-10
# OBJ = combinar distintas optimizaciones y flags.
# CPU = desktop
Flags,Gflops_Vel,Gflops_Force,Gflops_Verlet,Gflops_total
gcc, -O2 -march=native,0.608186,2.992488,0.027236,0.034632
gcc, -O2 -march=native,0.592212,2.82322,0.024338,0.030952
gcc, -O2 -march=native,0.644259,3.037385,0.023401,0.029755
gcc, -O2 -march=native,0.560347,2.693474,0.023327,0.029552
gcc, -O2 -march=native,0.550793,2.588834,0.023308,0.029637
gcc, -O2 -march=native,0.646658,3.032569,0.023435,0.029797
gcc, -O2 -march=native,0.572292,2.731329,0.023368,0.029712
gcc, -O2 -march=native -ffast-math,0.650477,3.643005,0.028538,0.036055
gcc, -O2 -march=native -ffast-math,0.645942,3.695248,0.028512,0.036059
gcc, -O2 -march=native -ffast-math,0.556141,3.201055,0.028585,0.036129
gcc, -O2 -march=native -ffast-math,0.552678,3.437456,0.028507,0.03603
gcc, -O2 -march=native -ffast-math,0.607484,3.441692,0.028548,0.036057
gcc, -O2 -march=native -ffast-math,0.616183,3.497324,0.028381,0.035878
gcc, -O2 -march=native -ffast-math,0.616277,3.486936,0.028556,0.036083
gcc, -O2 -march=native -ffast-math,0.560198,3.196543,0.028421,0.035914
gcc, -O2 -march=native -ffast-math,0.552067,3.188584,0.028385,0.035867
gcc, -O2 -march=native -ffast-math,0.570178,3.298094,0.028626,0.036214
gcc, -O2 -march=native -funroll-loops,0.627051,2.982602,0.023098,0.029399
gcc, -O2 -march=native -funroll-loops,0.610954,2.939128,0.02299,0.029264
gcc, -O2 -march=native -funroll-loops,0.545983,2.664988,0.022787,0.029016
gcc, -O2 -march=native -funroll-loops,0.587516,2.807288,0.022891,0.029148
gcc, -O2 -march=native -funroll-loops,0.586769,2.804767,0.023065,0.029362
gcc, -O2 -march=native -funroll-loops,0.558011,2.664467,0.022946,0.029215
gcc, -O2 -march=native -funroll-loops,0.516759,2.599824,0.023053,0.029343
gcc, -O2 -march=native -funroll-loops,0.569541,2.774613,0.02281,0.029037
gcc, -O2 -march=native -funroll-loops,0.627043,2.981673,0.022988,0.029262
gcc, -O2 -march=native -funroll-loops,0.514499,2.540408,0.023029,0.029312
gcc, -O2 -march=native -floop-block,0.653954,3.028938,0.023319,0.029654
